X,Y,Grant.ID,fullAddress,OBJECTID,UNIT_COUNT,CNTY_FIPS,COUNTY,MSSA_ID,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,PCSA,PCSA_SCORE,PC_PHYS,PC_PHYS_R_,POVScore,PHYSRatioS,Shape__Are,Shape__Len
-117.077853,32.758365,2253182-2223,"5454 El Cajon Boulevard, San Diego, CA 92115",153,21,73,San Diego,161e,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,Urban,10976.64131,0.34700989,69164,No,4,155,582.5677419,4,0,0.002082411,0.373036952
-117.193384,33.910621,2253275-2223,"26600 Cactus Avenue, Moreno Valley, CA 92555",78,32,65,Riverside,134,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley,Urban,432.6486895,16.65625281,88572,No,4,121,1245.157025,3,1,0.084236943,1.947231308
-117.047413,32.55873598,2253263-2223,"4004 Beyer Blvd, San Ysidro, CA 92173",158,35,73,San Diego,161j,Castle Park/Chula Vista Southwest/Imperial Beach West/Nestor East/Palm City/San Ysidro/South San Diego,Urban,3339.417097,15.60301862,54210,Yes,5,87,1802.08046,3,2,0.011583168,1.778704545
-121.250509,38.76604801,2284864-2223,"1 Medical Plaza Drive, Roseville, CA 95661",57,22,61,Placer,121.2,Rocklin/Granite Bay,Urban,1324.650553,1.85493214,100032,No,1,327,343.4862385,1,0,0.022540253,0.903750588
-122.260972,37.838532,2253258-2223,"5220 Claremont Ave, Oakland, CA 94609",340,35,1,Alameda,2b,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,Urban,7322.493077,0.71529953,101155,No,1,278.5,392.8940754,1,0,0.0039637,0.488456343
-119.78314,36.74644499,2253254-2223,"290 Wayte Lane, Fresno, CA 93701",359,20,19,Fresno,35c,Fresno West Central,Urban,6845.721182,0.49553136,35392,Yes,5,109.1666667,749.6610687,5,0,0.003206182,0.252897002
-119.78314,36.74644499,2253249-2223,"290 N. Wayte Ln, Fresno, CA 93701",359,20,19,Fresno,35c,Fresno West Central,Urban,6845.721182,0.49553136,35392,Yes,5,109.1666667,749.6610687,5,0,0.003206182,0.252897002
-118.946365,35.37626,2253217-2223,"1700 Bakersfield, Bakersfield, CA 93306",393,21,29,Kern,66a,Bakersfield Northeast/Oildale,Urban,627.8763742,1.0975318,62656,No,4,199,536.9798995,4,0,0.043220388,1.31935357
-117.254792,34.13453399,2253174-2223,"1499 E Highland Ave, San Bernardino, CA 92404",128,23,71,San Bernardino,151k,Highland/San Bernardino East,Urban,4287.922478,0.50097747,53278,Yes,6,111,1065.531532,5,1,0.007192029,0.497433918
-117.193384,33.910621,2253274-2223,"26600 Cactus Ave., Moreno Valley, CA 92555",78,32,65,Riverside,134,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley,Urban,432.6486895,16.65625281,88572,No,4,121,1245.157025,3,1,0.084236943,1.947231308
-120.4121896,34.95165123,2253188-2223,"235 South Palisade Drive, Santa Maria, CA 93454",209,24,83,Santa Barbara,180.1,Orcutt/Santa Maria,Urban,626.540796,3.45184595,54300,No,4,123,1101.349594,3,1,0.054634369,1.547780364
-116.542418,33.83707001,2253267-2223,"555 E Tachevah #2E-107, Palm Springs, CA 92262",69,36,65,Riverside,129.4,Cathedral City Southeast/Palm Desert North/Palm Springs South/Rancho Mirage North,Urban,466.9886161,5.02623073,70564,Yes,5,129,1089.139535,4,1,0.07367544,1.633848223
-121.940321,37.32665202,2253200-2223,"455 O'Connor Drive, Suite 200, San Jose, CA 95128",223,17,85,Santa Clara,183j,San Jose Northwest,Urban,9531.938009,0.77774166,53473,No,2,428,219.9485981,2,0,0.002541848,0.308078142
-122.7259954,38.47162251,2253184-2223,"401 Bicentennial Way, Santa Rosa, CA 95403",276,36,97,Sonoma,210.1,Santa Rosa,Urban,1102.480371,8.0073079,140493,No,2,359,540.7465181,2,0,0.046658835,1.419229067
-120.472491,37.29349799,2253189-2223,"315 East 13th Street, Merced, CA 95341",539,6,47,Merced,97.2,El Nido/Merced Southwest,Rural,88.54722876,2.53784161,9100,Yes,5,45,558.7111111,5,0,0.07986509,1.647063547
-122.207415,37.466512,2253240-2223,"3301 El Camino Real, Suite 102, Atherton, CA 94027",199,14,81,San Mateo,176b,East Menlo Park/East Palo Alto/North Fair Oaks/Redwood City East,Urban,3594.577193,0.4402245,27921,Yes,5,40,1980.1,3,2,0.005670809,0.613499322
-117.106052,33.48113002,2253276-2223,"31700 Temecula Pkwy, Pkwy Suites- GME #3, Temecula, CA 92592",73,14,65,Riverside,131c,Temecula South,Urban,537.1240961,35.92085968,66199,No,2,78,1105.179487,1,1,0.038718163,1.294424377
-118.217259,34.05133199,2253173-2223,"1701 Cesar Chavez Ave., Los Angeles, CA 90033",446,32,37,Los Angeles,78.2ffff,Boyle Heights Northwest/Chinatown/Downtown Northwest/Little Tokyo/Westlake,Urban,16209.12804,0.33727432,44315,Yes,5,917,105.8898582,5,0,0.001634674,0.332299999
-121.633162,36.69699,2253190-2223,"1441 Constitution Blvd, Salinas, CA 93906",13,32,53,Monterey,109.2,Salinas/Spreckels,Urban,3924.820734,5.3615592,38569,No,4,206,738.538835,4,0,0.010110067,0.627674238
